Field,Type,Graph,Nodes,Edges,Finished,Enumeration Type,Running Mode,Enumerator Type,Thread Number,Time,Algorithm,Separators generated,Results,First Width,Min Width,Max Width,Best Width Time,Best Width Count,Good width Count,First Fill,Min Fill,Max Fill,Best Fill Time,Best Fill Count,Good Fill Count,First ExpBags,Min ExpBags,Max ExpBags,Best ExpBags Time
dflat,test_instances,instance_n24_p0.10_003,24,46,NO,MINIMAL_TRIANGULATIONS,PARALLEL,HORIZONTAL,4,100.001,mcs,15,68057,8,6,9,20299.256,749,34571,69,36,77,20299.256,9,271,3696,800,4904,20299.256
Random,Probability50percent,200,200,9967,NO,MINIMAL_TRIANGULATIONS,PARALLEL,NESTED,4,600.003,LB_TRIANG.NONE.UNIFORM,417941,103,185,184,189,470.826,1,18,9435,9128,9596,470.826,1,1,9223372036854775807,9223372036854775807,9223372036854775807,470.826
Random,Probability50percent,200,200,9967,NO,MINIMAL_TRIANGULATIONS,PARALLEL,HORIZONTAL_DEMON,4,600.004,LB_TRIANG.NONE.UNIFORM,0,1,185,185,185,1968.068,1,1,9435,9435,9435,1968.068,1,1,9223372036854775807,9223372036854775807,9223372036854775807,1968.068
Random,Probability50percent,200,200,9967,NO,MINIMAL_TRIANGULATIONS,PARALLEL,NESTED,4,600.008,LB_TRIANG.NONE.UNIFORM,464244,102,185,184,190,2575.537,2,15,9435,9128,9575,2575.537,1,1,9223372036854775807,9223372036854775807,9223372036854775807,2575.537
Random,Probability50percent,200,200,9967,NO,MINIMAL_TRIANGULATIONS,PARALLEL,HORIZONTAL_DEMON,4,600.006,LB_TRIANG.NONE.UNIFORM,0,1,185,185,185,4645.9,1,1,9435,9435,9435,4645.9,1,1,9223372036854775807,9223372036854775807,9223372036854775807,4645.9
Random,Probability50percent,200,200,9967,NO,MINIMAL_TRIANGULATIONS,PARALLEL,NESTED,4,600.001,LB_TRIANG.NONE.UNIFORM,493281,116,185,184,189,5255.054,3,18,9435,9128,9595,5255.054,1,1,9223372036854775807,9223372036854775807,9223372036854775807,5255.054
BN,Grids,grid20x20.f5,400,760,NO,MINIMAL_TRIANGULATIONS,PARALLEL,HORIZONTAL_DEMON,4,10.001,mcs,0,1,20,20,20,1164.609,1,1,4750,4750,4750,1164.609,1,1,150994960,150994960,150994960,1164.609
BN,Grids,grid20x20.f5,400,760,NO,MINIMAL_TRIANGULATIONS,PARALLEL,HORIZONTAL_DEMON,4,10.002,mcs,0,1,20,20,20,1983.049,1,1,4750,4750,4750,1983.049,1,1,150994960,150994960,150994960,1983.049
BN,Grids,grid20x20.f5,400,760,NO,MINIMAL_TRIANGULATIONS,PARALLEL,HORIZONTAL_DEMON,4,10.432,mcs,0,1,20,20,20,2176.268,1,1,4750,4750,4750,2176.268,1,1,150994960,150994960,150994960,2176.268
BN,Grids,grid20x20.f5,400,760,NO,MINIMAL_TRIANGULATIONS,PARALLEL,HORIZONTAL_DEMON,4,10.002,mcs,0,1,20,20,20,2239.211,1,1,4750,4750,4750,2239.211,1,1,150994960,150994960,150994960,2239.211
BN,Grids,grid20x20.f5,400,760,NO,MINIMAL_TRIANGULATIONS,PARALLEL,HORIZONTAL_DEMON,4,10.003,mcs,0,1,20,20,20,2851.777,1,1,4750,4750,4750,2851.777,1,1,150994960,150994960,150994960,2851.777
BN,Grids,grid20x20.f5,400,760,NO,MINIMAL_TRIANGULATIONS,PARALLEL,HORIZONTAL_DEMON,4,10.003,mcs,0,1,20,20,20,3163.751,1,1,4750,4750,4750,3163.751,1,1,150994960,150994960,150994960,3163.751
BN,Grids,grid20x20.f5,400,760,NO,MINIMAL_TRIANGULATIONS,PARALLEL,HORIZONTAL_DEMON,4,10.004,mcs,0,1,20,20,20,3194.915,1,1,4750,4750,4750,3194.915,1,1,150994960,150994960,150994960,3194.915
BN,Grids,grid20x20.f5,400,760,NO,MINIMAL_TRIANGULATIONS,PARALLEL,HORIZONTAL_DEMON,4,10.003,mcs,0,1,20,20,20,3440.033,1,1,4750,4750,4750,3440.033,1,1,150994960,150994960,150994960,3440.033
BN,Grids,grid20x20.f5,400,760,NO,MINIMAL_TRIANGULATIONS,PARALLEL,HORIZONTAL_DEMON,4,10.002,mcs,0,1,20,20,20,3485.878,1,1,4750,4750,4750,3485.878,1,1,150994960,150994960,150994960,3485.878
BN,Grids,grid20x20.f5,400,760,NO,MINIMAL_TRIANGULATIONS,PARALLEL,NESTED,4,30.002,LB_TRIANG.NONE.UNIFORM,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
BN,Grids,grid20x20.f5,400,760,NO,MINIMAL_TRIANGULATIONS,PARALLEL,NESTED,4,30.001,LB_TRIANG.NONE.UNIFORM,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
BN,Grids,grid20x20.f5,400,760,NO,MINIMAL_TRIANGULATIONS,PARALLEL,HORIZONTAL_DEMON,4,10.002,LB_TRIANG.NONE.UNIFORM,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
