Instance,UserTime,"BagSizeActiveCount","BagSizeStatisticMedian","BagSizeArithmeticAverage","BagSizeStatisticalStandardDeviation","BagSizeMaximum","NonLeafNodeBagSizeActiveCount","NonLeafNodeBagSizeStatisticMedian","NonLeafNodeBagSizeArithmeticAverage","NonLeafNodeBagSizeStatisticalStandardDeviation","NonLeafNodeBagSizeMaximum","NodeDepthStatisticMedian","NodeDepthArithmeticAverage","NodeDepthStatisticalStandardDeviation","NodeDepthMaximum","NonLeafNodeDepthStatisticMedian","NonLeafNodeDepthArithmeticAverage","NonLeafNodeDepthStatisticalStandardDeviation","NonLeafNodeDepthMaximum","IntroduceNodeDepthActiveCount","IntroduceNodeDepthStatisticMedian","IntroduceNodeDepthArithmeticAverage","IntroduceNodeDepthStatisticalStandardDeviation","IntroduceNodeDepthMaximum","ForgetNodeDepthActiveCount","ForgetNodeDepthStatisticMedian","ForgetNodeDepthArithmeticAverage","ForgetNodeDepthStatisticalStandardDeviation","ForgetNodeDepthMaximum","JoinNodeDepthActiveCount","JoinNodeDepthStatisticMedian","JoinNodeDepthArithmeticAverage","JoinNodeDepthStatisticalStandardDeviation","JoinNodeDepthMaximum","LeafNodeDepthActiveCount","LeafNodeDepthStatisticMedian","LeafNodeDepthArithmeticAverage","LeafNodeDepthStatisticalStandardDeviation","LeafNodeDepthMaximum","IntroduceNodePercentage","ForgetNodePercentage","JoinNodePercentage","LeafNodePercentage","IntroduceNodeBagSizeStatisticMedian","IntroduceNodeBagSizeArithmeticAverage","IntroduceNodeBagSizeStatisticalStandardDeviation","IntroduceNodeBagSizeMaximum","ForgetNodeBagSizeStatisticMedian","ForgetNodeBagSizeArithmeticAverage","ForgetNodeBagSizeStatisticalStandardDeviation","ForgetNodeBagSizeMaximum","JoinNodeBagSizeStatisticMedian","JoinNodeBagSizeArithmeticAverage","JoinNodeBagSizeStatisticalStandardDeviation","JoinNodeBagSizeMaximum","LeafNodeBagSizeStatisticMedian","LeafNodeBagSizeArithmeticAverage","LeafNodeBagSizeStatisticalStandardDeviation","LeafNodeBagSizeMaximum","JoinNodeDistanceStatisticMedian","JoinNodeDistanceArithmeticAverage","JoinNodeDistanceStatisticalStandardDeviation","JoinNodeDistanceMaximum","ItemLifetimeStatisticMedian","ItemLifetimeArithmeticAverage","ItemLifetimeStatisticalStandardDeviation","ItemLifetimeMaximum","ContainerCountStatisticMedian","ContainerCountArithmeticAverage","ContainerCountStatisticalStandardDeviation","ContainerCountMaximum","BranchingFactorStatisticMedian","BranchingFactorArithmeticAverage","BranchingFactorStatisticalStandardDeviation","BranchingFactorMaximum","BalancednessFactor","CummulativeBagSize","CummulativeIntroduceNodeBagSize","CummulativeForgetNodeBagSize","CummulativeJoinNodeBagSize","CummulativeLeafNodeBagSize","IntroducedVertexNeighborCountStatisticMedian","IntroducedVertexNeighborCountArithmeticAverage","IntroducedVertexNeighborCountStatisticalStandardDeviation","IntroducedVertexNeighborCountMaximum","ForgottenVertexNeighborCountStatisticMedian","ForgottenVertexNeighborCountArithmeticAverage","ForgottenVertexNeighborCountStatisticalStandardDeviation","ForgottenVertexNeighborCountMaximum","IntroducedVertexConnectednessFactorStatisticMedian","IntroducedVertexConnectednessFactorArithmeticAverage","IntroducedVertexConnectednessFactorStatisticalStandardDeviation","IntroducedVertexConnectednessFactorMaximum","ForgottenVertexConnectednessFactorStatisticMedian","ForgottenVertexConnectednessFactorArithmeticAverage","ForgottenVertexConnectednessFactorStatisticalStandardDeviation","ForgottenVertexConnectednessFactorMaximum","BagAdjacencyFactorStatisticMedian","BagAdjacencyFactorArithmeticAverage","BagAdjacencyFactorStatisticalStandardDeviation","BagAdjacencyFactorMaximum","BagConnectednessFactorStatisticMedian","BagConnectednessFactorArithmeticAverage","BagConnectednessFactorStatisticalStandardDeviation","BagConnectednessFactorMaximum","BagNeighborhoodCoverageFactorStatisticMedian","BagNeighborhoodCoverageFactorArithmeticAverage","BagNeighborhoodCoverageFactorStatisticalStandardDeviation","BagNeighborhoodCoverageFactorMaximum","DecompositionOverheadRatio","CummulativeDepthWeightedBagSize","CummulativeRootDistanceWeightedBagSize","CummulativeDepthWeightedIntroduceNodeBagSize","CummulativeRootDistanceWeightedIntroduceNodeBagSize","CummulativeDepthWeightedForgetNodeBagSize","CummulativeRootDistanceWeightedForgetNodeBagSize","CummulativeDepthWeightedJoinNodeBagSize","CummulativeRootDistanceWeightedJoinNodeBagSize","CummulativeIntroducedVertexNeighborCount","CummulativeDepthWeightedIntroducedVertexNeighborCount","CummulativeRootDistanceWeightedIntroducedVertexNeighborCount","CummulativeForgottenVertexNeighborCount","CummulativeDepthWeightedForgottenVertexNeighborCount","CummulativeRootDistanceWeightedForgottenVertexNeighborCount"
"/home/dvirdu/IdeaProjects/efficienttdenum/dflat/test_instances/instance_n24_p0.10_003.lp",1550.000,76,6.0000,5.4737,1.8437,8.0000,68,6.0000,5.6324,1.8358,8.0000,9.0000,8.5263,4.0215,17.0000,8.0000,8.0000,3.8206,16.0000,53,9.0000,8.6226,3.8392,17.0000,16,11.0000,10.1250,3.6856,16.0000,7,4.0000,4.1429,3.3381,9.0000,8,13.0000,13.0000,2.8284,17.0000,0.6974,0.2105,0.0921,0.1053,6.0000,5.5849,1.6459,8.0000,3.5000,4.1250,1.7842,7.0000,8.0000,7.7143,0.4880,8.0000,4.0000,4.1250,1.3562,7.0000,6.0000,5.9048,3.4202,14.0000,6.5000,7.5417,6.2204,18.0000,8.0000,17.3333,18.8764,56.0000,1.0000,1.1029,0.3061,2.0000,0.8269,416.0000,296.0000,66.0000,54.0000,33.0000,1.0000,2.0566,3.1769,16.0000,2.0000,2.6250,1.2583,6.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.1905,0.2508,0.1967,0.8333,1.0000,1.0000,0.0000,1.0000,0.2192,0.2245,0.1431,0.6667,3.1667,3202.0000,4286.0000,2371.0000,2957.0000,614.0000,574.0000,217.0000,755.0000,109.0000,1223.0000,739.0000,42.0000,443.0000,313.0000
"/home/dvirdu/IdeaProjects/efficienttdenum/dflat/test_instances/instance_n24_p0.10_003.lp",4270.000,58,5.5000,5.9310,1.7953,9.0000,53,6.0000,6.0755,1.8065,9.0000,16.0000,15.3448,7.9793,29.0000,15.0000,14.8491,7.6294,28.0000,35,17.0000,16.6286,7.3368,29.0000,19,15.0000,13.7895,8.5478,28.0000,4,10.5000,11.5000,10.3441,25.0000,5,21.0000,20.6000,10.6207,29.0000,0.6034,0.3276,0.0690,0.0862,6.0000,6.1714,1.7061,9.0000,5.0000,5.2632,1.7270,8.0000,7.0000,7.0000,2.3094,9.0000,4.0000,4.4000,0.5477,5.0000,12.5000,13.0000,7.0065,25.0000,8.5000,9.8333,7.3287,24.0000,10.5000,14.3333,12.0205,42.0000,1.0000,1.0755,0.2667,2.0000,0.6583,344.0000,216.0000,100.0000,28.0000,22.0000,1.0000,2.1429,2.8916,10.0000,3.0000,2.3158,1.8575,6.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.2000,0.2242,0.1945,0.8333,1.0000,1.0000,0.0000,1.0000,0.1917,0.2124,0.1551,0.6250,2.4167,4969.0000,5351.0000,3396.0000,3084.0000,1259.0000,1741.0000,314.0000,526.0000,75.0000,1356.0000,894.0000,44.0000,701.0000,619.0000
"/home/dvirdu/IdeaProjects/efficienttdenum/dflat/test_instances/instance_n24_p0.10_003.lp",1640.000,73,6.0000,5.7534,2.1908,9.0000,67,6.0000,5.9552,2.1633,9.0000,12.0000,11.2055,5.6935,21.0000,11.0000,10.6716,5.5086,20.0000,52,12.0000,11.6346,5.5201,21.0000,16,10.5000,11.3750,5.9652,20.0000,5,9.0000,6.2000,5.2631,11.0000,6,19.5000,17.1667,4.4460,21.0000,0.7123,0.2192,0.0685,0.0822,6.0000,5.8462,1.9841,9.0000,4.0000,4.5625,2.3085,8.0000,9.0000,8.6000,0.5477,9.0000,3.0000,3.5000,0.8367,5.0000,8.5000,6.2000,4.2252,11.0000,7.0000,9.0000,7.2472,22.0000,8.0000,17.5000,17.5920,51.0000,1.0000,1.0746,0.2648,2.0000,0.7799,420.0000,304.0000,73.0000,43.0000,21.0000,1.0000,1.9038,2.0025,10.0000,2.0000,2.4375,1.1529,6.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.2143,0.2621,0.1855,0.8333,1.0000,1.0000,0.0000,1.0000,0.2708,0.2646,0.1436,0.5655,3.0417,4325.0000,4915.0000,3329.0000,3359.0000,718.0000,888.0000,278.0000,668.0000,99.0000,1298.0000,880.0000,39.0000,482.0000,376.0000
"/home/dvirdu/IdeaProjects/efficienttdenum/dflat/test_instances/instance_n24_p0.10_003.lp",3910.000,59,6.0000,6.3051,2.0782,10.0000,54,6.0000,6.4630,2.0624,10.0000,14.0000,13.6949,7.1830,27.0000,13.5000,13.2778,6.9429,26.0000,37,15.0000,14.8919,6.7362,27.0000,18,12.0000,12.4444,7.6943,26.0000,4,8.0000,8.2500,7.1356,17.0000,5,22.0000,18.2000,9.0388,27.0000,0.6271,0.3051,0.0678,0.0847,6.0000,6.4324,2.0213,10.0000,6.0000,5.7222,2.1090,9.0000,7.5000,7.7500,2.0616,10.0000,4.0000,4.6000,1.5166,7.0000,8.5000,9.1667,4.4073,17.0000,9.0000,10.1667,7.5450,24.0000,11.5000,15.5000,13.7525,50.0000,1.0000,1.0741,0.2644,2.0000,0.6176,372.0000,238.0000,103.0000,31.0000,23.0000,1.0000,2.2973,3.2306,14.0000,2.0000,2.3889,1.8195,6.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.1667,0.2416,0.2000,0.8333,1.0000,1.0000,0.0000,1.0000,0.2222,0.2471,0.1347,0.6667,2.4583,4632.0000,5784.0000,3267.0000,3397.0000,1109.0000,1775.0000,256.0000,612.0000,85.0000,1335.0000,1045.0000,43.0000,616.0000,588.0000
"/home/dvirdu/IdeaProjects/efficienttdenum/dflat/test_instances/instance_n24_p0.10_003.lp",11320.000,63,6.0000,6.0794,2.0024,9.0000,58,6.0000,6.2586,1.9785,9.0000,9.0000,9.8889,5.6142,22.0000,9.0000,9.4138,5.4194,21.0000,44,10.0000,10.0909,5.5733,22.0000,15,9.0000,10.9333,5.2708,21.0000,4,2.5000,3.7500,4.5000,10.0000,5,16.0000,15.4000,5.3666,22.0000,0.6984,0.2381,0.0635,0.0794,6.0000,6.2273,1.8282,9.0000,5.0000,4.9333,1.9809,8.0000,9.0000,8.7500,0.5000,9.0000,4.0000,4.0000,0.7071,5.0000,5.0000,5.5000,3.3439,10.0000,7.0000,9.1667,7.0752,23.0000,8.5000,15.9583,15.6246,51.0000,1.0000,1.0690,0.2556,2.0000,0.7195,383.0000,274.0000,74.0000,35.0000,20.0000,1.0000,1.6591,2.5421,10.0000,3.0000,2.9333,1.4864,6.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.1111,0.2135,0.2231,0.8333,1.0000,1.0000,0.0000,1.0000,0.1389,0.1886,0.1630,0.6667,2.6250,3287.0000,5522.0000,2455.0000,3847.0000,707.0000,995.0000,125.0000,680.0000,73.0000,942.0000,737.0000,44.0000,485.0000,527.0000
"/home/dvirdu/IdeaProjects/efficienttdenum/dflat/test_instances/instance_n24_p0.10_003.lp",1320.000,67,5.0000,5.2687,1.8470,8.0000,61,5.0000,5.4262,1.8481,8.0000,10.0000,9.4627,4.4290,20.0000,9.0000,8.9508,4.2325,19.0000,46,10.0000,9.7391,4.2081,20.0000,16,11.0000,10.2500,4.6404,19.0000,5,5.0000,4.4000,2.8810,8.0000,6,14.0000,14.6667,2.8752,20.0000,0.6866,0.2388,0.0746,0.0896,5.0000,5.4348,1.6553,8.0000,3.5000,4.0625,1.8062,7.0000,8.0000,7.6000,0.5477,8.0000,3.5000,3.6667,0.8165,5.0000,6.5000,7.0000,3.8933,13.0000,7.5000,8.0417,6.1889,21.0000,8.5000,14.7083,15.4596,50.0000,1.0000,1.0820,0.2766,2.0000,0.8636,353.0000,250.0000,65.0000,38.0000,22.0000,1.0000,2.0000,2.0548,10.0000,2.0000,2.4375,1.0308,5.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.2500,0.2673,0.1922,0.8333,1.0000,1.0000,0.0000,1.0000,0.2341,0.2358,0.1444,0.5655,2.7917,2924.0000,4489.0000,2196.0000,3054.0000,561.0000,804.0000,167.0000,631.0000,92.0000,978.0000,954.0000,39.0000,407.0000,412.0000
"/home/dvirdu/IdeaProjects/efficienttdenum/dflat/test_instances/instance_n24_p0.10_003.lp",1050.000,67,6.0000,5.5522,1.8610,8.0000,61,6.0000,5.7377,1.8340,8.0000,10.0000,10.2836,5.1281,21.0000,10.0000,9.7869,4.9602,20.0000,46,10.5000,10.6739,4.8353,21.0000,16,12.5000,10.7500,5.7096,20.0000,5,6.0000,5.2000,3.7014,9.0000,6,14.0000,15.3333,4.2740,21.0000,0.6866,0.2388,0.0746,0.0896,6.0000,5.6522,1.7155,8.0000,5.0000,4.6250,1.9621,7.0000,8.0000,7.6000,0.8944,8.0000,3.5000,3.6667,0.8165,5.0000,6.0000,6.2000,2.7067,11.0000,7.0000,8.6250,6.5794,21.0000,8.0000,15.5000,15.1227,45.0000,1.0000,1.0820,0.2766,2.0000,0.7754,372.0000,260.0000,74.0000,38.0000,22.0000,1.5000,2.0000,2.1602,10.0000,2.0000,2.4375,1.3647,5.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.2143,0.2578,0.1758,0.8333,1.0000,1.0000,0.0000,1.0000,0.2429,0.2412,0.1385,0.6667,2.7917,3350.0000,4834.0000,2499.0000,3221.0000,659.0000,969.0000,192.0000,644.0000,92.0000,1054.0000,970.0000,39.0000,440.0000,418.0000
"/home/dvirdu/IdeaProjects/efficienttdenum/dflat/test_instances/instance_n24_p0.10_003.lp",1330.000,74,6.0000,5.8108,1.8849,9.0000,67,6.0000,5.9851,1.8869,9.0000,14.5000,14.0946,6.8008,26.0000,14.0000,13.6567,6.5933,25.0000,50,15.0000,14.8400,6.2966,26.0000,18,14.0000,13.6667,7.9038,25.0000,6,9.5000,9.1667,6.2423,18.0000,7,19.0000,18.2857,7.8680,26.0000,0.6757,0.2432,0.0811,0.0946,6.0000,5.9400,1.7072,9.0000,4.0000,4.7222,1.8409,8.0000,8.5000,8.0000,1.2649,9.0000,4.0000,4.1429,0.6901,5.0000,8.0000,7.6667,4.4515,18.0000,6.5000,10.0417,8.7252,25.0000,9.5000,17.9167,17.9223,53.0000,1.0000,1.0896,0.2877,2.0000,0.6741,430.0000,297.0000,85.0000,48.0000,29.0000,1.0000,2.2000,2.5395,10.0000,2.5000,2.3333,1.0847,4.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.2222,0.2664,0.1834,0.8333,1.0000,1.0000,0.0000,1.0000,0.2431,0.2479,0.1326,0.6667,3.0833,5648.0000,5962.0000,4179.0000,3840.0000,1015.0000,1280.0000,454.0000,842.0000,110.0000,1769.0000,1201.0000,42.0000,638.0000,496.0000
"/home/dvirdu/IdeaProjects/efficienttdenum/dflat/test_instances/instance_n24_p0.10_003.lp",6910.000,73,6.0000,5.8082,2.0727,9.0000,66,6.0000,6.0152,2.0643,9.0000,16.0000,15.3151,7.4887,27.0000,15.5000,14.8030,7.2816,26.0000,49,17.0000,16.1429,7.1063,27.0000,18,15.0000,14.3333,8.3384,26.0000,6,11.5000,11.5000,7.6616,22.0000,7,25.0000,20.1429,8.2750,27.0000,0.6712,0.2466,0.0822,0.0959,6.0000,5.9184,1.9131,9.0000,4.5000,4.9444,2.1821,8.0000,8.5000,7.5000,2.0736,9.0000,4.0000,3.8571,0.6901,5.0000,10.0000,10.0667,5.5145,22.0000,8.0000,10.0833,8.6674,27.0000,13.0000,17.6667,16.6359,52.0000,1.0000,1.0909,0.2897,2.0000,0.6677,424.0000,290.0000,89.0000,45.0000,27.0000,1.0000,1.8163,2.4552,10.0000,2.0000,2.2778,1.4473,6.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.1071,0.2094,0.2159,0.8333,1.0000,1.0000,0.0000,1.0000,0.1583,0.1943,0.1572,0.6667,3.0417,6071.0000,5801.0000,4456.0000,3664.0000,1111.0000,1381.0000,504.0000,756.0000,89.0000,1528.0000,964.0000,41.0000,670.0000,478.0000
"/home/dvirdu/IdeaProjects/efficienttdenum/dflat/test_instances/instance_n24_p0.10_003.lp",820.000,60,5.5000,5.5000,1.6824,8.0000,55,6.0000,5.6545,1.6580,8.0000,10.0000,10.3167,5.3567,21.0000,10.0000,9.8182,5.1571,20.0000,40,10.5000,10.6500,5.2259,21.0000,16,10.5000,10.8125,5.4433,20.0000,4,4.5000,5.0000,4.5461,11.0000,5,17.0000,15.8000,4.8166,21.0000,0.6667,0.2667,0.0667,0.0833,6.0000,5.6500,1.5616,8.0000,4.5000,4.6250,1.6683,7.0000,7.5000,7.5000,0.5774,8.0000,4.0000,3.8000,0.8367,5.0000,7.5000,8.3333,3.9848,15.0000,10.0000,8.6250,5.5858,18.0000,13.0000,13.7500,11.0778,34.0000,1.0000,1.0727,0.2621,2.0000,0.7570,330.0000,226.0000,74.0000,30.0000,19.0000,1.0000,2.1250,2.3336,10.0000,2.0000,2.4375,0.8921,4.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.2381,0.2810,0.1873,0.8333,1.0000,1.0000,0.0000,1.0000,0.2681,0.2630,0.1408,0.6667,2.5000,3012.0000,4248.0000,2173.0000,2799.0000,694.0000,934.0000,145.0000,515.0000,85.0000,1013.0000,857.0000,39.0000,442.0000,416.0000
