Field,Type,Graph,Nodes,Edges,Finished,Time,Algorithm,Separators generated,Results,First Width,Min Width,Max Width,Best Width Time,Best Width Count,Good width Count,First Fill,Min Fill,Max Fill,Best Fill Time,Best Fill Count,Good Fill Count,First ExpBags,Min ExpBags,Max ExpBags,Best ExpBags Time
C:\tddatasets\Datasets\DeadEasy, C:\tddatasets\Datasets\DeadEasy\DBPedia, LSQ-DBpedia351.graph130830.csv, 12, 20, Yes, 0.0, , 6,2, 4, 4, 4, 0.0, 2, 1, 1, 1, 1, 0.0, 2, 2, 76, 76, 76, 0.0
C:\tddatasets\Datasets\DeadEasy, C:\tddatasets\Datasets\DeadEasy\DBPedia, LSQ-DBpedia351.graph130830.csv, 12, 20, Yes, 0.042, , 6,2, 4, 4, 4, 0.0, 2, 1, 1, 1, 1, 0.0, 2, 2, 76, 76, 76, 0.0
C:\tddatasets\Datasets\DeadEasy, C:\tddatasets\Datasets\DeadEasy\DBPedia, LSQ-DBpedia351.graph130830.csv, 12, 20, Yes, 0.036, , 6,2, 4, 4, 4, 0.0, 2, 1, 1, 1, 1, 0.0, 2, 2, 76, 76, 76, 0.0
C:\tddatasets\Datasets\DeadEasy, C:\tddatasets\Datasets\DeadEasy\DBPedia, LSQ-DBpedia351.graph130830.csv, 12, 20, Yes, 0.039, , 6,2, 4, 4, 4, 0.0, 2, 1, 1, 1, 1, 0.0, 2, 2, 76, 76, 76, 0.0
C:\tddatasets\Datasets\DeadEasy\TPCH, C:\tddatasets\Datasets\DeadEasy\TPCH\LogicBlox, 1_HG.bliss, 12, 19, Yes, 0.03, , 3,1, 2, 2, 2, 0.0, 1, 1, 0, 0, 0, 0.0, 1, 1, 72, 72, 72, 0.0
C:\tddatasets\Datasets\DeadEasy\TPCH, C:\tddatasets\Datasets\DeadEasy\TPCH\LogicBlox, 1_HG.bliss, 12, 19, Yes, 0.027, , 3,1, 2, 2, 2, 0.0, 1, 1, 0, 0, 0, 0.0, 1, 1, 72, 72, 72, 0.0
TPCH, LogicBlox, 1_HG.bliss, 12, 19, Yes, 0.05, , 3,1, 2, 2, 2, 0.0, 1, 1, 0, 0, 0, 0.0, 1, 1, 72, 72, 72, 0.0
TPCH, LogicBlox, 1_HG.bliss, 12, 19, Yes, 0.039, , 3,1, 2, 2, 2, 0.0, 1, 1, 0, 0, 0, 0.0, 1, 1, 72, 72, 72, 0.0
TPCH, LogicBlox, 1_HG.bliss, 12, 19, Yes, 0.027, , 3,1, 2, 2, 2, 0.0, 1, 1, 0, 0, 0, 0.0, 1, 1, 72, 72, 72, 0.0
BN, ObjectDetection, deer_rescaled_0034.K20.F1.5.model.uai, 60, 150, Yes, 0.317, , 4,20, 6, 6, 6, 0.0, 20, 20, 29, 29, 32, 0.0, 20, 12, 1064, 1064, 1120, 0.0
