Field,Type,Graph,Nodes,Edges,Finished,Enumeration Type,Running Mode,Enumerator Type,Thread Number,Time,Algorithm,Separators generated,Results,First Width,Min Width,Max Width,Best Width Time,Best Width Count,Good width Count,First Fill,Min Fill,Max Fill,Best Fill Time,Best Fill Count,Good Fill Count,First ExpBags,Min ExpBags,Max ExpBags,Best ExpBags Time
dflat,test_instances,instance_n24_p0.10_003,24,46,NO,NICE_TD,SINGLE_THREAD,IMPROVED_JV_CACHE,4,100.002,mcs,13,22766,8,3,9,19523.68,7906,22637,6,-46,32,19523.68,11867,21015,7228,16,10952,19523.68
dflat,test_instances,instance_n24_p0.10_003,24,46,NO,NICE_TD,PARALLEL,IMPROVED_JV_CACHE,4,100.001,mcs,15,56873,8,3,9,19648.981,18468,4127,6,-46,33,19648.981,2,87,7228,16,10952,19648.981
Random,Probability30percent,150,150,3318,YES,PROPER_TD,SINGLE_THREAD,IMPROVED_JV_CACHE,4,0.549,mcs,0,1,128,128,128,5499.611,1,1,-3297,-3297,-3297,5499.611,1,1,9223372036854775807,9223372036854775807,9223372036854775807,5499.611
Random,Probability30percent,150,150,3318,YES,PROPER_TD,SINGLE_THREAD,IMPROVED_JV_CACHE,4,1.638,mcs,0,1,128,128,128,5587.5,1,1,-3297,-3297,-3297,5587.5,1,1,9223372036854775807,9223372036854775807,9223372036854775807,5587.5
Random,Probability30percent,150,150,3318,YES,PROPER_TD,SINGLE_THREAD,IMPROVED_JV_CACHE,4,0.65,mcs,0,1,128,128,128,5663.428,1,1,-3297,-3297,-3297,5663.428,1,1,9223372036854775807,9223372036854775807,9223372036854775807,5663.428
Random,Probability30percent,150,150,3318,YES,PROPER_TD,SINGLE_THREAD,IMPROVED_JV_CACHE,4,0.644,mcs,0,1,128,128,128,7303.268,1,1,-3297,-3297,-3297,7303.268,1,1,9223372036854775807,9223372036854775807,9223372036854775807,7303.268
Random,Probability30percent,150,150,3318,YES,PROPER_TD,SINGLE_THREAD,IMPROVED_JV_CACHE,4,0.471,mcs,0,1,128,128,128,7635.206,1,1,-3297,-3297,-3297,7635.206,1,1,9223372036854775807,9223372036854775807,9223372036854775807,7635.206
Random,Probability30percent,150,150,3318,NO,PROPER_TD,SINGLE_THREAD,IMPROVED_JV_CACHE,4,8.153,mcs,0,1,128,128,128,7674.411,1,1,-3297,-3297,-3297,7674.411,1,1,9223372036854775807,9223372036854775807,9223372036854775807,7674.411
Random,Probability30percent,150,150,3318,NO,PROPER_TD,SINGLE_THREAD,IMPROVED_JV_CACHE,4,5.604,mcs,0,1,128,128,128,7730.232,1,1,-3297,-3297,-3297,7730.232,1,1,9223372036854775807,9223372036854775807,9223372036854775807,7730.232
Random,Probability30percent,150,150,3318,NO,PROPER_TD,SINGLE_THREAD,IMPROVED_JV_CACHE,4,6.688,mcs,0,1,128,128,128,7759.313,1,1,-3297,-3297,-3297,7759.313,1,1,9223372036854775807,9223372036854775807,9223372036854775807,7759.313
Random,Probability30percent,150,150,3318,NO,PROPER_TD,SINGLE_THREAD,IMPROVED_JV_CACHE,4,2.011,mcs,3,3,128,128,128,7928.984,3,3,-3297,-3298,-3297,7930.786,1,3,9223372036854775807,9223372036854775807,9223372036854775807,7928.984
tddatasets,DBPedia,LSQ-DBpedia351.graph130830,12,20,YES,PROPER_TD,SINGLE_THREAD,IMPROVED_JV_CACHE,4,0.324,mcs,6,2,4,4,4,8715.177,2,2,-13,-13,-13,8715.177,2,2,76,76,76,8715.177
tddatasets,DBPedia,LSQ-DBpedia351.graph142367,12,20,YES,PROPER_TD,SINGLE_THREAD,IMPROVED_JV_CACHE,4,0.034,mcs,6,2,4,4,4,8715.494,2,2,-13,-13,-13,8715.494,2,2,76,76,76,8715.494
tddatasets,DBPedia,LSQ-DBpedia351.graph942211,12,19,YES,PROPER_TD,SINGLE_THREAD,IMPROVED_JV_CACHE,4,0.01,mcs,6,1,4,4,4,8715.526,1,1,-12,-12,-12,8715.526,1,1,68,68,68,8715.526
tddatasets,DBPedia,LSQ-DBpedia351.graph289391,12,20,YES,PROPER_TD,SINGLE_THREAD,IMPROVED_JV_CACHE,4,0.033,mcs,6,2,4,4,4,8715.544,2,2,-13,-13,-13,8715.544,2,2,76,76,76,8715.544
tddatasets,DBPedia,LSQ-DBpedia351.graph945932,12,18,YES,PROPER_TD,SINGLE_THREAD,IMPROVED_JV_CACHE,4,0.038,mcs,8,4,3,3,3,8715.585,4,4,-10,-10,-10,8715.585,4,4,76,76,76,8715.585
tddatasets,DBPedia,LSQ-DBpedia351.graph226650,14,22,YES,PROPER_TD,SINGLE_THREAD,IMPROVED_JV_CACHE,4,0.032,mcs,8,2,4,4,4,8715.626,2,2,-13,-13,-13,8715.626,2,2,84,84,84,8715.626
